------------------------------------
Frequenza [GHz]:     9.4000
Lambda [cm]:     3.1915
R:    67.0213[cm] =    21.0000[wl]
a:    23.6170[cm] =    7.4000[wl]
b:     7.3404[cm] =    2.3000[wl]
Shift Factor:     0.0000
Seed:     132786
------------------------------------
Theta[°]     Phi[°]    Delta_R[m]
------------------------------------
    0.0000    0.0000  0.000000
    2.6910  190.5882  0.000000
    2.6910  211.7647  0.000000
    2.6910  232.9412  0.000000
    2.6910  254.1176  0.000000
    2.6910  275.2941  0.000000
    2.6910  296.4706  0.000000
    2.6910  317.6471  0.000000
    2.6910  338.8235  0.000000
    2.6910    0.0000  0.000000
    2.6910   21.1765  0.000000
    2.6910   42.3529  0.000000
    2.6910   63.5294  0.000000
    2.6910   84.7059  0.000000
    2.6910  105.8824  0.000000
    2.6910  127.0588  0.000000
    2.6910  148.2353  0.000000
    2.6910  169.4118  0.000000
    5.3858  187.8261  0.000000
    5.3858  203.4783  0.000000
    5.3858  219.1304  0.000000
    5.3858  234.7826  0.000000
    5.3858  250.4348  0.000000
    5.3858  266.0870  0.000000
    5.3858  281.7391  0.000000
    5.3858  297.3913  0.000000
    5.3858  313.0435  0.000000
    5.3858  328.6957  0.000000
    5.3858  344.3478  0.000000
    5.3858    0.0000  0.000000
    5.3858   15.6522  0.000000
    5.3858   31.3043  0.000000
    5.3858   46.9565  0.000000
    5.3858   62.6087  0.000000
    5.3858   78.2609  0.000000
    5.3858   93.9130  0.000000
    5.3858  109.5652  0.000000
    5.3858  125.2174  0.000000
    5.3858  140.8696  0.000000
    5.3858  156.5217  0.000000
    5.3858  172.1739  0.000000
    8.0883  186.2069  0.000000
    8.0883  198.6207  0.000000
    8.0883  211.0345  0.000000
    8.0883  223.4483  0.000000
    8.0883  235.8621  0.000000
    8.0883  248.2759  0.000000
    8.0883  260.6897  0.000000
    8.0883  273.1034  0.000000
    8.0883  285.5172  0.000000
    8.0883  297.9310  0.000000
    8.0883  310.3448  0.000000
    8.0883  322.7586  0.000000
    8.0883  335.1724  0.000000
    8.0883  347.5862  0.000000
    8.0883    0.0000  0.000000
    8.0883   12.4138  0.000000
    8.0883   24.8276  0.000000
    8.0883   37.2414  0.000000
    8.0883   49.6552  0.000000
    8.0883   62.0690  0.000000
    8.0883   74.4828  0.000000
    8.0883   86.8966  0.000000
    8.0883   99.3103  0.000000
    8.0883  111.7241  0.000000
    8.0883  124.1379  0.000000
    8.0883  136.5517  0.000000
    8.0883  148.9655  0.000000
    8.0883  161.3793  0.000000
    8.0883  173.7931  0.000000
   10.8025  185.1429  0.000000
   10.8025  195.4286  0.000000
   10.8025  205.7143  0.000000
   10.8025  216.0000  0.000000
   10.8025  226.2857  0.000000
   10.8025  236.5714  0.000000
   10.8025  246.8571  0.000000
   10.8025  257.1429  0.000000
   10.8025  267.4286  0.000000
   10.8025  277.7143  0.000000
   10.8025  288.0000  0.000000
   10.8025  298.2857  0.000000
   10.8025  308.5714  0.000000
   10.8025  318.8571  0.000000
   10.8025  329.1429  0.000000
   10.8025  339.4286  0.000000
   10.8025  349.7143  0.000000
   10.8025    0.0000  0.000000
   10.8025   10.2857  0.000000
   10.8025   20.5714  0.000000
   10.8025   30.8571  0.000000
   10.8025   41.1429  0.000000
   10.8025   51.4286  0.000000
   10.8025   61.7143  0.000000
   10.8025   72.0000  0.000000
   10.8025   82.2857  0.000000
   10.8025   92.5714  0.000000
   10.8025  102.8571  0.000000
   10.8025  113.1429  0.000000
   10.8025  123.4286  0.000000
   10.8025  133.7143  0.000000
   10.8025  144.0000  0.000000
   10.8025  154.2857  0.000000
   10.8025  164.5714  0.000000
   10.8025  174.8571  0.000000
   13.5326  184.3902  0.000000
   13.5326  193.1707  0.000000
   13.5326  201.9512  0.000000
   13.5326  210.7317  0.000000
   13.5326  219.5122  0.000000
   13.5326  228.2927  0.000000
   13.5326  237.0732  0.000000
   13.5326  245.8537  0.000000
   13.5326  254.6341  0.000000
   13.5326  263.4146  0.000000
   13.5326  272.1951  0.000000
   13.5326  280.9756  0.000000
   13.5326  289.7561  0.000000
   13.5326  298.5366  0.000000
   13.5326  307.3171  0.000000
   13.5326  316.0976  0.000000
   13.5326  324.8780  0.000000
   13.5326  333.6585  0.000000
   13.5326  342.4390  0.000000
   13.5326  351.2195  0.000000
   13.5326    0.0000  0.000000
   13.5326    8.7805  0.000000
   13.5326   17.5610  0.000000
   13.5326   26.3415  0.000000
   13.5326   35.1220  0.000000
   13.5326   43.9024  0.000000
   13.5326   52.6829  0.000000
   13.5326   61.4634  0.000000
   13.5326   70.2439  0.000000
   13.5326   79.0244  0.000000
   13.5326   87.8049  0.000000
   13.5326   96.5854  0.000000
   13.5326  105.3659  0.000000
   13.5326  114.1463  0.000000
   13.5326  122.9268  0.000000
   13.5326  131.7073  0.000000
   13.5326  140.4878  0.000000
   13.5326  149.2683  0.000000
   13.5326  158.0488  0.000000
   13.5326  166.8293  0.000000
   13.5326  175.6098  0.000000
   16.2831  183.8298  0.000000
   16.2831  191.4894  0.000000
   16.2831  199.1489  0.000000
   16.2831  206.8085  0.000000
   16.2831  214.4681  0.000000
   16.2831  222.1277  0.000000
   16.2831  229.7872  0.000000
   16.2831  237.4468  0.000000
   16.2831  245.1064  0.000000
   16.2831  252.7660  0.000000
   16.2831  260.4255  0.000000
   16.2831  268.0851  0.000000
   16.2831  275.7447  0.000000
   16.2831  283.4043  0.000000
   16.2831  291.0638  0.000000
   16.2831  298.7234  0.000000
   16.2831  306.3830  0.000000
   16.2831  314.0426  0.000000
   16.2831  321.7021  0.000000
   16.2831  329.3617  0.000000
   16.2831  337.0213  0.000000
   16.2831  344.6809  0.000000
   16.2831  352.3404  0.000000
   16.2831    0.0000  0.000000
   16.2831    7.6596  0.000000
   16.2831   15.3191  0.000000
   16.2831   22.9787  0.000000
   16.2831   30.6383  0.000000
   16.2831   38.2979  0.000000
   16.2831   45.9574  0.000000
   16.2831   53.6170  0.000000
   16.2831   61.2766  0.000000
   16.2831   68.9362  0.000000
   16.2831   76.5957  0.000000
   16.2831   84.2553  0.000000
   16.2831   91.9149  0.000000
   16.2831   99.5745  0.000000
   16.2831  107.2340  0.000000
   16.2831  114.8936  0.000000
   16.2831  122.5532  0.000000
   16.2831  130.2128  0.000000
   16.2831  137.8723  0.000000
   16.2831  145.5319  0.000000
   16.2831  153.1915  0.000000
   16.2831  160.8511  0.000000
   16.2831  168.5106  0.000000
   16.2831  176.1702  0.000000
   19.0589  183.3962  0.000000
   19.0589  190.1887  0.000000
   19.0589  196.9811  0.000000
   19.0589  203.7736  0.000000
   19.0589  210.5660  0.000000
   19.0589  217.3585  0.000000
   19.0589  224.1509  0.000000
   19.0589  230.9434  0.000000
   19.0589  237.7358  0.000000
   19.0589  244.5283  0.000000
   19.0589  251.3208  0.000000
   19.0589  258.1132  0.000000
   19.0589  264.9057  0.000000
   19.0589  271.6981  0.000000
   19.0589  278.4906  0.000000
   19.0589  285.2830  0.000000
   19.0589  292.0755  0.000000
   19.0589  298.8679  0.000000
   19.0589  305.6604  0.000000
   19.0589  312.4528  0.000000
   19.0589  319.2453  0.000000
   19.0589  326.0377  0.000000
   19.0589  332.8302  0.000000
   19.0589  339.6226  0.000000
   19.0589  346.4151  0.000000
   19.0589  353.2075  0.000000
   19.0589    0.0000  0.000000
   19.0589    6.7925  0.000000
   19.0589   13.5849  0.000000
   19.0589   20.3774  0.000000
   19.0589   27.1698  0.000000
   19.0589   33.9623  0.000000
   19.0589   40.7547  0.000000
   19.0589   47.5472  0.000000
   19.0589   54.3396  0.000000
   19.0589   61.1321  0.000000
   19.0589   67.9245  0.000000
   19.0589   74.7170  0.000000
   19.0589   81.5094  0.000000
   19.0589   88.3019  0.000000
   19.0589   95.0943  0.000000
   19.0589  101.8868  0.000000
   19.0589  108.6792  0.000000
   19.0589  115.4717  0.000000
   19.0589  122.2642  0.000000
   19.0589  129.0566  0.000000
   19.0589  135.8491  0.000000
   19.0589  142.6415  0.000000
   19.0589  149.4340  0.000000
   19.0589  156.2264  0.000000
   19.0589  163.0189  0.000000
   19.0589  169.8113  0.000000
   19.0589  176.6038  0.000000
   21.8652  183.0508  0.000000
   21.8652  189.1525  0.000000
   21.8652  195.2542  0.000000
   21.8652  201.3559  0.000000
   21.8652  207.4576  0.000000
   21.8652  213.5593  0.000000
   21.8652  219.6610  0.000000
   21.8652  225.7627  0.000000
   21.8652  231.8644  0.000000
   21.8652  237.9661  0.000000
   21.8652  244.0678  0.000000
   21.8652  250.1695  0.000000
   21.8652  256.2712  0.000000
   21.8652  262.3729  0.000000
